CourseID,Subject,CourseNumber,Title,Credits,Description
CIS6946,CIS ,6946,Internships/Practicums/Clinical Practice,0-3,Practical computer science and/or computer engineering work under industrial supervision with a faculty approved outline and end-of-semester report. One semester for variable credit and S-U only.
CIS6971,CIS ,6971,Thesis: Master’s,2-19,
CIS7910,CIS ,7910,Directed Research,1-19,Requires completed contract prior to enrollment.
CIS7980,CIS ,7980,Dissertation: Doctoral,2-19,
CNT4004,CNT ,4004,Computer Networks I,3,"An introduction to the design and analysis of computer communication networks. Topics include application layer protocols, Internet protocols, network interfaces, local and wide area networks, wireless networks, bridging and routing, and current topics."
CNT4104,CNT ,4104,Computer Information Networks,3,"Presents the design and analysis of computer networks. The emphasis is on application- and Internet-layer protocols. Network interfaces, Internet protocols, wireless networks, routing, and security issues are introduced."
CNT4104L,CNT ,4104L,Computer Information Networks Laboratory,1,This lab provides a hands-on introduction to computer networking and the protocols used to coordinate and control communications on them.
CNT4403,CNT ,4403,Network Security and Firewalls,3,This course surveys network security standards and emphasizes applications that are widely used on the Internet and for corporate networks. This course also examines Firewalls and related tools used to provide both network and perimeter security.
CNT4411,CNT ,4411,Computing and Network Security,3,"The course is a study of fundamental concepts and principles of computing and network security. The course covers basic security topics, including symmetric and public key cryptography, digital signatures, hash functions,and network security protocols."
CNT4419,CNT ,4419,Secure Coding,3,"Principles and practices for secure computing and writing secure software, including software for performing information management and networking and communications."
CNT4603,CNT ,4603,System Administration and Maintenance for Information Technology,3,"Examines the activities related to the selection, installation and management of computer systems. Covers concepts essential to the administration of OS, networks, and services. Covers system documentation, policies and procedures."
CNT4716C,CNT ,4716C,Network Programming for IT ,3,"This course presents the fundamentals of network programming in C# .NET. In this course, the student will learn how to use the Visual Studio development environment to create Windows client and server applications. Topics include network object oriented programming, the study of network protocols, client/server applications, peer-to-peer applications, ASP.NET, Web Services, cloud computing and an introduction to Windows 8 Phone development."
CNT5008,CNT ,5008,Networks Essentials,1,"An introduction to the design and analysis of computer communication networks. Topics include application layer protocols, Internet protocols, network interfaces, local and wide area networks, wireless networks, bridging and routing, and current topics."
CNT6410,CNT ,6410,Emerging Topics in Network Security,3,"Covers basic concepts of network security, network security primitives, authentication techniques, security and privacy issues in modern wireless systems, and vulnerability analysis of electric power grids."
COP2510,COP ,2510,Programming Concepts,3,An examination of a modern programming language emphasizing programming concepts and design methodology.
COP2512,COP ,2512,Programming Fundamentals for Information Technology,3,"An introduction to computer programming using a modern high-level language with IT applications. Topics include variables, types, expressions, and assignment, control structures, I/O, functions, and structured decomposition."
COP2513,COP ,2513,Object Oriented Programming,3,"An introduction to object oriented programming emphasizing an objects first approach with applications to IT. Objects, methods, and classes are studied in detail. Students design and implement object-oriented programs to solve IT problems."
