ProgramID,CourseID,ProgramRequirementType
MSCYS,CAP6101,Elective
MSCYS,CIS6214,Elective
MSCYS,CIS6082,Elective
MSCYS,CAP5745,Elective
MSCYS,CIS6220,Elective
MSCYS,CIS6218,Elective
MSCYS,CAI5107,Elective
MSCYS,CAI5135,Elective
MSCYS,CAI5205,Elective
MSCYS,CAI5815,Elective
MSCYS,CAI6605,Elective
MSCYS,CIS6930,Elective
MSCYS,CIS6946,Elective
MSCYS,CIS6971,Elective
PhDCSE,COP6611,Core
PhDCSE,EEL6764,Core
PhDCSE,COT6405,Core
PhDCSE,CAI5005,Elective
PhDCSE,CAI5107,Elective
PhDCSE,CAI5133,Elective
PhDCSE,CAI5135,Elective
PhDCSE,CAI5205,Elective
PhDCSE,CAI5307,Elective
PhDCSE,CAI5615,Elective
PhDCSE,CAI5815,Elective
PhDCSE,CAI5845,Elective
PhDCSE,CAI5846,Elective
PhDCSE,CAI6605,Elective
PhDCSE,CAP5745,Elective
PhDCSE,CAP6100,Elective
PhDCSE,CAP6101,Elective
PhDCSE,CAP6109,Elective
PhDCSE,CAP6110,Elective
PhDCSE,CAP6406,Elective
PhDCSE,CAP6455,Elective
PhDCSE,CAP6505,Elective
PhDCSE,CAP6736,Elective
PhDCSE,CDA5416,Elective
PhDCSE,CDA6328,Elective
PhDCSE,CIS6214,Elective
PhDCSE,CIS6373,Elective
PhDCSE,COP6021,Elective
PhDCSE,COP6527,Elective
PhDCSE,COP6625,Elective
PhDCSE,COP6712,Elective
PhDCSE,EEL5771,Elective
PhDCSE,CIS6930,Elective
PhDCSE,CIS6946,Elective
PhDCSE,CIS6900,Elective
PhDCSE,CIS7910,Elective
PhDCSE,CIS7980,Elective
PhDDA,CAI5005,Core
PhDDA,CAI5026,Elective
PhDDA,CAP5745,Elective
PhDDA,CAI5307,Elective
PhDDA,CAI5205,Elective
PhDDA,CAI5615,Elective
PhDDA,CAI5815,Elective
PhDDA,CAI5845,Elective
PhDDA,CAI5846,Elective
PhDDA,CAP6632,Elective
PhDDA,CAP6455,Elective
PhDDA,CAP6672,Elective
PhDDA,CAI5135,Elective
PhDDA,CAI5107,Elective
PhDDA,CIS6900,Elective
PhDDA,CIS7980,Elective
